,Action&Adventure,Animation,Anime&Manga,ArtHouse&International,Classics,Comedy,CultMovies,Documentary,Drama,Faith&Spirituality,Gay&Lesbian,Horror,Kids&Family,Musical&PerformingArts,Mystery&Suspense,Romance,ScienceFiction&Fantasy,SpecialInterest,Sports&Fitness,Television,Western
Lee Aaker,5,,,1,4,5,,,3,,,1,2,2,1,1,,,,1,2
Willie Aames,2,,,3,1,7,,,6,1,,2,2,1,1,1,2,,,2,
Quinton Aaron,,,,1,,8,,1,8,,,2,2,1,3,1,1,1,1,1,
Victor Aaron,3,,,,,1,,,3,,,,,,1,,,,,,1
Abbott and Costello,,,,,,,,,,,,,,,,,,,,,
Bruce Abbott,6,1,,,,6,,1,6,,,5,1,,5,1,6,,,,
Bud Abbott,10,1,,1,28,40,1,,5,,,4,2,10,5,2,7,2,1,,2
Christopher Abbott,1,,,,1,2,,2,14,,,2,,,3,,,1,1,,
Philip Abbott,4,,,,4,3,,,7,,,1,3,,2,1,2,,,,
Jake Abel,6,,,1,,6,1,,9,,,2,1,1,4,,5,,,1,
Walter Abel,8,1,1,2,19,15,,,25,,,1,3,6,5,8,3,1,,1,1
Zachary Abel,,,,,,,,,1,,,,,,,,,1,,1,
F. Murray Abraham,27,1,,13,8,19,,16,56,2,1,7,3,4,22,3,10,4,,6,1
Jon Abrahams,7,,,4,4,11,,,15,,,3,1,,8,3,3,,,,2
Omid Abtahi,5,3,,2,1,3,,,8,,,,3,,2,1,2,,,,
Yousef Abu-Taleb,1,,,2,1,1,,,4,,,,,,,,1,,,,1
Kirk Acevedo,4,,,3,1,4,,1,10,,,1,,,3,,1,1,,2,
Jensen Ackles,1,1,,,,3,,,1,,,2,,,1,,,,,,
Rodolfo Acosta,,,,,,,,,,,,,,,,,,,,,
Jay Acovone,18,,,2,,4,,1,20,,,3,2,2,14,2,4,,1,5,
Eddie Acuff,24,,,7,51,41,,3,56,,,7,1,23,15,21,7,1,,2,18
Jason Acuña,2,,,,1,11,,7,,,,,1,,,,,1,1,,
Ad-Rock,,,,,,,,,,,,,,,,,,,,,
Robert Adair,6,,,6,8,8,1,1,18,,,1,1,2,10,5,1,2,,2,1
Brandon Adams,,,,,,4,,,3,,,2,4,,,,1,,1,,
CJ Adams,1,,,1,,2,,,2,,,1,,,,1,2,,,,
Don Adams,1,2,,,,6,,,2,,,1,5,1,3,,,1,,1,
Ernie Adams,1,,,,1,,1,,,,,,1,,,,1,,,,1
J. B. Adams,,,,,,,,,1,,,,,,,,,,,,
Joe Adams,5,2,,2,1,25,,3,17,,,2,5,4,4,6,6,4,,1,
Julian Adams,1,,,,,,1,,2,,,,1,,,,1,,,,
Mason Adams,3,2,,,1,8,1,5,12,,,4,3,3,6,,6,1,,4,
Nick Adams,9,,,3,11,7,,,13,,,2,1,1,5,6,5,,,,3
R. J. Adams,,,,,,,,,,,,,,,,,,,,,
Rob Adams,4,,,1,2,4,,2,6,,,1,,2,2,1,1,1,,1,
Stanley Adams,13,1,,2,15,11,1,1,20,,,3,1,2,6,5,6,,1,2,5
Ted Adams,47,,,1,20,3,,2,11,,,3,,3,7,3,3,2,,,57
Victor Adamson,,,,,,,,,,,,,,,,,,,,,
Thom Adcox-Hernandez,,,,,,,,,,,,,,,,,,,,,
Anthony Addabbo,,,,1,,2,,,2,,,,,,1,1,,,,,
Wesley Addy,2,,,1,9,5,1,,21,,,2,,,7,5,,1,,3,1
Tunde Adebimpe,,,,,,,,,,,,,,,,,,,,,
Ilunga Adell,,,,,,,,,,,,,,,,,,,,,
Paul Adelstein,2,,,1,,6,,1,3,,,,,,3,1,2,1,,,
Jovan Adepo,1,,,,1,2,,,3,,,,,,,,,,,,
Patrick Adiarte,,,,,2,2,,1,,,,,,2,,2,,,,,
Lawrence Adisa,,,,,,3,,,2,,,,1,,1,1,,,,,
Seth Adkins,3,,,1,2,8,,1,6,,,,4,1,,2,3,,1,3,
Trace Adkins,2,,,,3,3,1,1,9,1,,1,1,4,3,,1,1,,1,5
Jay Adler,6,,,1,15,11,,,25,,,2,1,1,9,5,,1,,,3
Jerry Adler,3,,,,,8,,1,10,,,1,,,5,,1,1,,,
Joe Adler,3,,,,,,,,,,,1,,,1,,1,,,,
Julius Adler,,,,,,,,,,,,,,,,,,,,,
Luther Adler,11,,,2,11,,,,23,,,,,2,8,3,,1,,1,
Matt Adler,7,,,,,7,1,,7,,,1,1,,3,1,7,,,,
Max Adler,,,,1,1,3,,1,5,,,3,1,,4,1,,1,,,
James Adomian,1,,,,1,3,,3,1,,,,,,,1,,2,,,
Franklin Adreon,10,,,,3,2,,,3,,,1,1,,1,,5,,,1,4
Scott Adsit,3,2,,4,1,21,1,2,12,,,2,2,,1,2,1,2,,2,
Nick Afanasiev,,,,,,,,,,,,,,,,,,,,,
Ben Affleck,13,2,,7,4,34,1,11,35,,,5,4,2,11,11,10,2,,2,
Casey Affleck,11,1,,4,1,20,,3,30,,,2,2,,6,4,2,2,1,2,2
John Agar,18,,,2,18,4,2,,13,,,14,,,8,3,16,,,2,9
Arthur Agee,1,,,,,,,1,1,,,,1,,,,,1,1,,
Steve Agee,1,,,,,8,,2,6,1,,4,,1,4,2,3,1,,,1
Robert Agnew,2,,,,,1,,1,1,,,,,1,,2,1,,,,
Jonathan Ahdout,,,,,,,,,1,,,,,,,,,,,,
Waris Ahluwalia,2,,,1,,4,,,4,,,1,,,1,1,1,,,,
Ahmed Ahmed,,,,1,,,,,1,,,,,,,,,,,,
Philip Ahn,34,2,,2,34,16,,1,53,2,,1,6,8,19,12,4,4,,,3
Charles Aidman,11,,,2,7,3,,,16,,,4,2,1,4,1,2,,,4,3
Danny Aiello,16,1,,4,3,43,,3,48,,,2,4,1,19,7,1,2,1,6,
Danny Aiello III,1,,,1,,7,,,5,,,,,,2,1,,,,,
Liam Aiken,2,,,2,,6,,1,12,,,1,3,1,4,1,,,,,
Alan Aisenberg,1,,,,1,3,,1,2,,,,,,,1,,1,,,
Spottiswoode Aitken,,,,,1,,,,1,,,,,,,,,,,,
Franklyn Ajaye,2,,,,,10,,2,7,,,2,,2,3,1,,2,,,
Ayad Akhtar,,,,1,,,,,2,,,,,,,,,,,1,
Gbenga Akinnagbe,6,2,,2,2,7,,1,14,,,1,2,,6,2,2,,,1,
Claude Akins,23,1,,2,20,13,,1,26,1,,6,1,2,12,5,4,,1,6,12
Marc Alaimo,11,,,,1,4,,,11,,,,,,6,,2,1,,3,2
Mark Alan,,,,1,,3,,,1,,,2,,,1,,,1,,,
Matthew Alan,3,,,,,1,,1,4,,,1,,,3,1,,,,,
Rico Alaniz,7,,,1,7,1,,2,8,,,,,,3,4,1,,,,4
Carlos Alazraqui,8,16,,3,1,19,,,2,,,,27,1,2,,6,,,7,1
Luis Alberni,20,1,,3,34,40,,2,43,2,,2,1,26,10,21,5,3,,1,2
Devin Albert,,,,,,,,,,,,,,,,,,,,,
Eddie Albert,23,3,,3,25,36,1,1,49,1,,6,9,7,14,17,7,2,,11,3
Edward Albert,17,1,,8,3,8,,2,27,1,,10,3,1,18,5,7,,,5,1
Micah Alberti,2,,,,,,,,4,,,,,,2,,,1,,3,2
Coit Albertson,,,,,,,,,,,,,,,,,,,,,
Frank Albertson,12,2,1,,28,22,,5,32,1,,2,4,6,11,10,6,2,1,1,2
Jack Albertson,4,1,,,20,22,,,25,1,,2,6,9,6,8,4,,,1,
J. Grant Albrecht,,4,,,,1,,,,,,1,1,,,,,,,,
Budd Albright,1,,,,,,,,,,,,,,1,,1,,,,
Tucker Albrizzi,1,2,,1,,3,,,1,,,,5,,,,,1,,,
Ghazi Albuliwi,,,,,,,,,,,,,,,,,,,,,
Alejandro Alcondez,,,,,,,,,,,,,,,,,,,,,
Todd Alcott,,2,,,,3,,1,1,,,,2,,,,1,,,,
Alan Alda,4,,,,3,20,,10,26,,,2,2,3,9,4,,2,1,8,
